nr,x,y
66.301,591294.430,255778.250
66.602,598602.520,254944.610
66.813,601808.900,255847.870
67.15,604153.270,254184.850
86.323,591692.660,250616.800
86.508,595575.660,252297.810
86.526,596116.510,247679.360
86.711.1,599399.780,251479.780
87.118.1,603986.610,251663.880
66.603,598371.821,254745.585
